id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
21740,30,admin.,married,secondary,no,4,no,no,unknown,7,may,172,8,-1,0,unknown,0
22648,32,technician,single,secondary,no,116,yes,no,cellular,20,aug,718,2,-1,0,unknown,1
31793,56,housemaid,married,primary,no,82,no,no,unknown,16,may,215,1,-1,0,unknown,0
21439,25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,1
70323,38,services,married,secondary,no,393,no,no,unknown,18,jun,90,3,-1,0,unknown,0
88726,48,entrepreneur,married,secondary,no,0,yes,no,cellular,11,may,430,3,-1,0,unknown,0
77397,39,blue-collar,married,primary,no,572,yes,yes,unknown,3,jun,235,1,-1,0,unknown,0
11314,54,technician,married,secondary,no,1670,no,no,cellular,29,aug,207,7,-1,0,unknown,0
55980,46,self-employed,married,tertiary,no,8,no,no,cellular,13,oct,182,1,-1,0,unknown,0
08750,27,blue-collar,married,secondary,no,1024,no,no,cellular,6,feb,280,6,-1,0,unknown,0
23827,37,technician,married,secondary,no,0,yes,no,unknown,23,may,412,6,-1,0,unknown,0
46777,26,management,divorced,tertiary,no,667,no,no,telephone,19,jun,177,2,-1,0,unknown,0
49709,36,management,single,tertiary,no,223,yes,no,cellular,8,apr,281,3,-1,0,unknown,0
06961,32,admin.,married,secondary,no,0,yes,no,cellular,30,apr,177,2,-1,0,unknown,1
94489,26,admin.,single,secondary,no,614,no,no,cellular,27,jan,103,1,-1,0,unknown,0
85432,37,technician,single,secondary,no,-274,yes,no,cellular,26,aug,218,5,-1,0,unknown,0
84947,34,blue-collar,married,primary,no,0,yes,yes,unknown,20,jun,34,29,-1,0,unknown,0
77164,43,management,married,tertiary,no,175,yes,no,cellular,17,apr,129,4,337,1,other,0
14629,42,admin.,single,secondary,no,-847,yes,no,unknown,27,may,137,2,-1,0,unknown,0
64277,39,blue-collar,married,unknown,no,1096,no,no,unknown,20,may,246,3,-1,0,unknown,0
40889,46,technician,married,secondary,no,317,yes,yes,unknown,28,may,125,1,-1,0,unknown,0
41776,39,technician,married,tertiary,no,-1099,yes,no,cellular,30,jul,56,9,-1,0,unknown,0
46336,44,blue-collar,married,primary,no,2470,no,no,telephone,21,jul,19,1,-1,0,unknown,0
83101,40,management,married,tertiary,no,42,no,yes,cellular,18,aug,215,6,-1,0,unknown,0
43209,56,housemaid,divorced,secondary,no,0,no,no,unknown,15,may,103,1,-1,0,unknown,0
42951,43,management,married,tertiary,no,4016,yes,no,cellular,14,aug,159,2,-1,0,unknown,0
01227,43,management,married,secondary,no,3,yes,no,unknown,9,may,204,2,-1,0,unknown,0
62267,41,management,married,tertiary,no,4063,yes,no,cellular,12,may,14,5,172,2,failure,0
32669,37,entrepreneur,married,tertiary,no,7944,no,no,cellular,21,nov,102,1,-1,0,unknown,0
04648,34,technician,divorced,secondary,no,7,yes,yes,cellular,29,aug,273,2,-1,0,unknown,0
32461,59,retired,divorced,secondary,no,93,no,yes,cellular,8,aug,108,2,-1,0,unknown,0
79632,57,management,divorced,tertiary,no,236,no,no,cellular,18,nov,120,2,-1,0,unknown,0
11911,45,entrepreneur,married,primary,no,1953,yes,no,unknown,15,may,95,3,-1,0,unknown,0
41005,37,technician,married,unknown,no,88,yes,yes,cellular,8,may,66,1,308,2,failure,0
88130,47,blue-collar,married,secondary,no,327,yes,no,cellular,16,apr,352,1,-1,0,unknown,0
30188,32,technician,married,unknown,no,429,yes,no,cellular,20,apr,31,3,153,2,other,0
36402,46,blue-collar,married,primary,no,-175,yes,yes,cellular,17,apr,250,1,324,2,failure,0
44582,27,blue-collar,single,primary,no,0,yes,no,unknown,4,jun,299,2,-1,0,unknown,0
02025,42,management,married,tertiary,no,9261,yes,no,cellular,6,aug,120,2,-1,0,unknown,0
84190,44,technician,married,secondary,no,5597,no,no,unknown,20,jun,27,3,-1,0,unknown,0
29035,30,technician,single,unknown,no,-48,yes,no,unknown,6,may,152,2,-1,0,unknown,0
55134,64,retired,divorced,secondary,no,630,no,no,cellular,21,aug,97,1,-1,0,unknown,0
14143,60,blue-collar,married,primary,no,5,no,no,cellular,29,oct,401,1,-1,0,unknown,1
11943,34,blue-collar,single,secondary,no,1351,yes,no,cellular,14,may,334,2,-1,0,unknown,0
25204,55,technician,married,unknown,no,574,yes,no,cellular,29,jan,243,2,-1,0,unknown,0
97921,32,blue-collar,single,secondary,no,1415,yes,no,cellular,17,apr,645,1,345,1,failure,0
94462,28,admin.,divorced,secondary,no,-504,yes,yes,cellular,14,may,578,1,-1,0,unknown,1
47302,32,technician,single,tertiary,no,195,yes,no,cellular,22,aug,239,2,-1,0,unknown,0
38427,55,blue-collar,divorced,primary,no,8180,no,no,cellular,14,may,854,2,360,1,failure,1
93651,49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,0
72001,36,housemaid,married,primary,no,622,no,no,unknown,20,jun,55,5,-1,0,unknown,0
83512,53,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,135,5,-1,0,unknown,0
49898,52,admin.,married,primary,no,270,yes,no,unknown,7,may,294,2,-1,0,unknown,0
93515,28,self-employed,single,tertiary,no,2503,no,no,cellular,25,may,426,1,-1,0,unknown,1
75712,38,self-employed,divorced,secondary,no,2674,yes,no,unknown,19,jun,163,2,-1,0,unknown,0
40805,31,admin.,married,secondary,no,223,no,no,cellular,6,may,297,1,-1,0,unknown,0
32784,33,admin.,married,secondary,no,1737,no,no,cellular,30,apr,524,2,-1,0,unknown,0
12350,35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,failure,0
68570,49,admin.,married,secondary,no,197,yes,no,cellular,23,jul,125,1,101,3,success,0
24625,48,blue-collar,married,primary,no,762,yes,no,unknown,12,may,81,4,-1,0,unknown,0
54818,30,blue-collar,married,secondary,no,294,yes,yes,unknown,16,jun,50,3,-1,0,unknown,0
57878,71,retired,married,secondary,no,1712,no,no,cellular,11,feb,660,1,-1,0,unknown,1
95577,36,blue-collar,married,secondary,no,722,yes,no,unknown,13,may,816,3,-1,0,unknown,0
40997,27,admin.,single,secondary,no,1123,no,no,cellular,17,aug,75,1,-1,0,unknown,0
06864,35,blue-collar,single,secondary,no,-441,yes,no,cellular,6,may,151,1,-1,0,unknown,0
00691,46,services,married,secondary,no,2703,no,no,cellular,11,aug,211,6,-1,0,unknown,0
81949,31,admin.,married,secondary,no,184,yes,no,unknown,12,may,378,3,-1,0,unknown,0
24304,30,technician,single,tertiary,no,0,yes,no,unknown,28,may,58,1,-1,0,unknown,0
16226,41,technician,single,secondary,no,1147,yes,no,unknown,20,jun,17,10,-1,0,unknown,0
37515,68,retired,divorced,primary,no,476,no,no,telephone,28,jun,363,1,-1,0,unknown,1
05051,36,admin.,married,secondary,no,-106,yes,no,unknown,6,may,130,2,-1,0,unknown,0
90909,27,management,divorced,tertiary,no,148,no,no,cellular,22,jul,174,9,-1,0,unknown,0
27650,32,technician,married,tertiary,no,2976,yes,no,cellular,14,aug,88,5,-1,0,unknown,0
90840,39,unemployed,married,tertiary,no,1108,yes,no,cellular,18,nov,191,2,-1,0,unknown,0
48515,37,blue-collar,married,primary,no,445,yes,no,unknown,26,may,159,2,-1,0,unknown,0
52913,44,technician,divorced,secondary,no,316,yes,no,cellular,21,jul,163,3,-1,0,unknown,0
93451,56,technician,single,secondary,no,3499,yes,no,unknown,29,may,248,3,-1,0,unknown,0
77805,27,student,single,unknown,no,598,no,no,cellular,12,aug,126,1,524,1,failure,0
29080,35,management,married,secondary,no,533,no,no,cellular,6,aug,221,12,-1,0,unknown,0
54022,50,housemaid,married,secondary,no,3016,yes,no,telephone,13,may,65,5,-1,0,unknown,0
31757,39,unknown,married,primary,no,2860,no,no,unknown,19,jun,133,1,-1,0,unknown,0
99019,29,entrepreneur,married,secondary,no,452,yes,no,unknown,27,may,347,1,-1,0,unknown,0
05115,29,technician,married,tertiary,no,-14,no,no,cellular,21,jul,203,2,-1,0,unknown,0
95297,53,self-employed,married,primary,no,127,no,no,cellular,29,jan,78,2,-1,0,unknown,0
00616,33,unemployed,married,tertiary,no,123,no,no,cellular,19,aug,207,3,-1,0,unknown,0
76673,53,technician,married,secondary,no,65,no,no,cellular,17,nov,178,1,-1,0,unknown,0
78747,33,management,married,tertiary,no,862,yes,no,cellular,8,aug,166,3,-1,0,unknown,0
19495,27,technician,married,secondary,no,7,yes,no,unknown,15,may,98,2,-1,0,unknown,0
41485,57,retired,married,secondary,no,49,yes,yes,cellular,25,aug,93,4,-1,0,unknown,0
39349,48,housemaid,married,primary,no,627,yes,no,unknown,27,may,21,5,-1,0,unknown,0
38132,55,management,married,tertiary,no,655,no,no,cellular,28,jul,167,6,-1,0,unknown,0
